OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,FechaId,NUTS_0,NUTS_1,NUTS_2,NUTS_3,PAD_2C02,PAD_2C03,PAD_2C04,PAD_2C05,PAD_2C06,PAD_2C07,PAD_2C08,PAD_2C09,PAD_2C10,PAD_2C11,PAD_2C12,PAD_2C13,PAD_2C14,PAD_2C15,PAD_2C16,PAD_2C17,PAD_2C18,PAD_2C19,PAD_2C20,PAD_2C21,PAD_2C22,PAD_2C23,PAD_2C24,PAD_2C25,PAD_2C26,PAD_2C27,PAD_2C28,PAD_2C29,PAD_2C30,PAD_2C31,PAD_2C32,PAD_2C33,PAD_2C34,PAD_2C35,PAD_2C36,PAD_2C37,PAD_2C38,PAD_2C39,PAD_2C40,PAD_2C41,PAD_2C42,PAD_2C43,PAD_2C44,PAD_2C45,PAD_2C46,PAD_2C47,PAD_2C48,PAD_2C49,PAD_2C50,PAD_2C51,PAD_2C52,PAD_2C53,PAD_2C54,PAD_2C55,PAD_2C56,PAD_2C57,PAD_2C58,PAD_3C03,PAD_3C04,PAD_3C05,PAD_3C06,PAD_3C07,PAD_3C08,PAD_3C09,PAD_3C10,PAD_3C100,PAD_3C101,PAD_3C102,PAD_3C103,PAD_3C104,PAD_3C105,PAD_3C106,PAD_3C107,PAD_3C108,PAD_3C109,PAD_3C11,PAD_3C110,PAD_3C111,PAD_3C112,PAD_3C12,PAD_3C13,PAD_3C14,PAD_3C15,PAD_3C16,PAD_3C17,PAD_3C18,PAD_3C19,PAD_3C20,PAD_3C21,PAD_3C22,PAD_3C23,PAD_3C24,PAD_3C25,PAD_3C26,PAD_3C27,PAD_3C28,PAD_3C29,PAD_3C30,PAD_3C31,PAD_3C32,PAD_3C33,PAD_3C34,PAD_3C35,PAD_3C36,PAD_3C37,PAD_3C38,PAD_3C39,PAD_3C40,PAD_3C41,PAD_3C42,PAD_3C43,PAD_3C44,PAD_3C45,PAD_3C46,PAD_3C47,PAD_3C48,PAD_3C49,PAD_3C50,PAD_3C51,PAD_3C52,PAD_3C53,PAD_3C54,PAD_3C55,PAD_3C56,PAD_3C57,PAD_3C58,PAD_3C59,PAD_3C60,PAD_3C61,PAD_3C62,PAD_3C63,PAD_3C64,PAD_3C65,PAD_3C66,PAD_3C67,PAD_3C68,PAD_3C69,PAD_3C70,PAD_3C71,PAD_3C72,PAD_3C73,PAD_3C74,PAD_3C75,PAD_3C76,PAD_3C77,PAD_3C78,PAD_3C79,PAD_3C80,PAD_3C81,PAD_3C82,PAD_3C83,PAD_3C84,PAD_3C85,PAD_3C86,PAD_3C87,PAD_3C88,PAD_3C89,PAD_3C90,PAD_3C91,PAD_3C92,PAD_3C93,PAD_3C94,PAD_3C95,PAD_3C96,PAD_3C97,PAD_3C98,PAD_3C99,PAD_3_COD_PROV,PAD_3_COD_CCAA,Shape__Area,Shape__Length
11,01014,Berantevilla,01,16,01012017,ES,ES2,ES21,ES211,443,22,15,20,15,10,17,16,37,47,33,36,30,18,32,34,30,23,8,236,15,8,11,6,7,6,10,20,30,12,22,19,7,15,18,15,11,4,207,7,7,9,9,3,11,6,17,17,21,14,11,11,17,16,15,12,4,423,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,14,0,14,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,236,227,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,207,196,11,1,0,0,0,0,0,0,0,1,2,1,0,7,0,7,0,0,1,0,0,0,01,16,66683914.6107178,52853.5387181633
12,01016,Bernedo,01,16,01012017,ES,ES2,ES21,ES211,504,16,26,18,13,18,17,20,23,58,34,32,51,39,34,30,24,22,29,299,8,16,11,8,12,9,12,15,33,24,20,33,27,18,16,14,15,8,205,8,10,7,5,6,8,8,8,25,10,12,18,12,16,14,10,7,21,475,29,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,23,6,12,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,299,286,13,2,0,0,0,0,0,1,1,0,0,0,0,10,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,189,16,1,0,0,0,1,0,0,0,0,0,0,0,13,4,7,0,0,2,0,0,0,01,16,242393761.949707,117556.984722387
13,01017,Campezo/Kanpezu,01,16,01012017,ES,ES2,ES21,ES211,1048,39,50,45,37,41,37,48,67,86,92,90,82,72,65,57,47,47,46,556,19,21,25,19,16,23,26,35,47,58,46,49,38,41,32,24,23,14,492,20,29,20,18,25,14,22,32,39,34,44,33,34,24,25,23,24,32,988,60,18,0,4,1,0,0,1,0,0,4,1,0,1,0,0,0,7,0,0,0,0,6,0,0,0,30,1,25,0,1,11,1,0,0,1,0,0,6,1,0,2,0,0,1,0,1,0,556,531,25,8,0,1,0,0,0,3,0,4,0,0,0,13,0,11,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,492,457,35,10,0,3,1,0,0,4,0,2,0,0,0,17,1,14,0,0,8,1,0,0,01,16,157734528.150513,71370.0562094473
14,01018,Zigoitia,01,16,01012017,ES,ES2,ES21,ES211,1766,77,100,98,74,72,64,68,102,162,164,138,180,165,110,77,32,38,45,960,41,58,56,39,42,36,33,51,83,92,74,103,87,65,45,20,17,18,806,36,42,42,35,30,28,35,51,79,72,64,77,78,45,32,12,21,27,1728,38,15,4,0,3,1,0,1,1,0,2,0,0,0,0,0,3,5,3,0,0,1,1,3,1,1,4,0,4,0,0,10,3,0,0,1,1,0,3,0,0,0,0,0,6,6,0,0,960,940,20,8,3,0,1,1,0,3,0,0,2,0,1,3,0,3,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,806,788,18,7,1,0,2,0,0,2,1,1,1,1,0,1,0,1,0,0,6,1,0,0,01,16,190689591.034546,66723.0457553177
15,01019,Kripan,01,16,01012017,ES,ES2,ES21,ES211,184,4,10,12,10,8,5,6,6,12,13,24,16,10,13,10,9,9,7,98,2,7,6,6,5,2,3,3,5,7,12,9,7,6,8,3,5,2,86,2,3,6,4,3,3,3,3,7,6,12,7,3,7,2,6,4,5,180,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,96,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,84,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,01,16,23011611.2879639,22267.6970472027
16,01020,,01,16,01012017,ES,ES2,ES21,ES211,372,21,11,7,6,9,6,24,21,31,32,42,36,34,26,11,18,16,21,216,12,6,6,5,7,5,12,11,20,16,25,20,21,18,8,8,9,7,156,9,5,1,1,2,1,12,10,11,16,17,16,13,8,3,10,7,14,363,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,216,210,6,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,156,153,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,01,16,193738039.127441,67625.2416577806
17,01021,Elburgo/Burgelu,01,16,01012017,ES,ES2,ES21,ES211,607,30,31,30,36,21,27,26,44,55,56,67,70,41,31,12,8,10,12,319,12,15,17,15,13,12,15,23,33,31,33,35,27,17,7,6,4,4,288,18,16,13,21,8,15,11,21,22,25,34,35,14,14,5,2,6,8,581,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,2,0,0,0,0,5,0,4,0,1,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,319,304,15,11,0,0,0,0,0,10,1,0,0,0,0,3,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,277,11,5,0,0,0,0,0,4,1,0,0,0,0,2,0,2,0,0,3,2,0,0,01,16,58413461.4197998,82503.2328131241
18,01022,Elciego,01,16,01012017,ES,ES2,ES21,ES211,1030,48,61,44,45,42,36,64,78,85,74,89,71,56,68,48,43,43,35,514,27,26,21,25,20,19,36,39,43,39,45,40,30,33,24,20,16,11,516,21,35,23,20,22,17,28,39,42,35,44,31,26,35,24,23,27,24,946,84,47,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,21,0,0,0,1,22,2,0,0,27,0,24,0,0,7,0,0,4,0,0,0,1,0,0,0,1,1,1,0,0,0,514,467,47,29,0,0,1,0,1,13,1,13,0,0,0,14,0,11,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,516,479,37,18,0,0,0,0,0,8,0,9,2,0,0,13,0,13,0,0,4,0,0,3,01,16,29992060.4100342,29558.8090946258
19,01023,Elvillar/Bilar,01,16,01012017,ES,ES2,ES21,ES211,353,12,17,16,20,11,18,14,30,32,25,28,20,24,22,19,11,15,19,173,5,5,9,8,6,11,7,15,19,13,10,12,12,12,9,5,7,8,180,7,12,7,12,5,7,7,15,13,12,18,8,12,10,10,6,8,11,309,44,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,4,2,0,2,16,4,12,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,173,157,16,7,0,0,0,0,0,5,0,2,0,0,0,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,152,28,14,0,0,0,0,0,12,0,2,2,0,2,7,3,4,0,0,5,0,2,0,01,16,32204126.9266357,30286.9684281893
20,01027,Iruraiz-Gauna,01,16,01012017,ES,ES2,ES21,ES211,530,14,20,31,29,20,20,22,33,55,48,58,56,33,18,28,13,12,20,289,6,13,20,14,12,10,12,18,25,25,36,32,16,14,15,9,4,8,241,8,7,11,15,8,10,10,15,30,23,22,24,17,4,13,4,8,12,513,17,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,2,1,0,1,1,0,0,0,9,0,0,3,1,0,0,0,0,0,4,1,0,1,0,0,0,289,280,9,3,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,4,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,241,233,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,1,01,16,87194894.6077881,114753.554339001
21,01028,Labastida/Bastida,01,16,01012017,ES,ES2,ES21,ES211,1454,71,97,74,75,70,64,85,97,101,131,116,99,98,92,56,47,44,37,762,39,53,32,37,34,29,41,54,59,68,59,56,57,52,30,21,23,18,692,32,44,42,38,36,35,44,43,42,63,57,43,41,40,26,26,21,19,1306,148,54,7,3,1,1,0,2,0,0,1,1,3,0,0,0,1,40,0,0,1,1,1,2,0,0,73,4,65,0,3,13,0,0,1,3,0,1,1,1,6,0,0,0,3,0,1,3,762,682,80,28,4,2,0,1,0,21,0,0,1,0,0,42,2,36,0,3,5,0,0,0,1,0,1,0,0,3,0,0,0,2,0,1,2,692,624,68,26,3,1,1,0,0,19,1,1,1,0,0,31,2,29,0,0,8,0,0,1,01,16,70850387.3392334,48359.731260737
22,01030,Lagrán,01,16,01012017,ES,ES2,ES21,ES211,166,6,4,1,3,5,7,4,9,7,10,14,14,21,18,14,7,10,12,92,4,2,0,2,2,5,2,3,3,9,5,9,12,8,8,3,8,7,74,2,2,1,1,3,2,2,6,4,1,9,5,9,10,6,4,2,5,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,16,89520962.2371826,58787.1577008622
23,01031,Laguardia,01,16,01012017,ES,ES2,ES21,ES211,1474,63,62,64,56,59,83,87,98,114,111,143,119,106,84,71,48,52,54,763,39,38,35,29,27,43,42,58,61,52,77,65,57,46,42,17,20,15,711,24,24,29,27,32,40,45,40,53,59,66,54,49,38,29,31,32,39,1352,122,42,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,31,6,2,0,62,0,57,0,2,12,0,3,3,0,1,0,0,1,0,0,0,1,0,0,0,0,763,699,64,22,0,0,1,0,0,6,0,15,2,0,0,34,0,29,0,2,6,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,711,653,58,20,1,0,0,0,0,3,0,16,4,2,0,28,0,28,0,0,6,0,1,2,01,16,148369417.789795,119147.907969117
24,01032,Lanciego/Lantziego,01,16,01012017,ES,ES2,ES21,ES211,673,36,37,27,27,32,39,32,46,41,53,47,46,42,39,32,35,29,33,345,14,11,15,13,15,21,17,24,23,30,27,28,19,26,17,16,16,13,328,22,26,12,14,17,18,15,22,18,23,20,18,23,13,15,19,13,20,587,86,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,4,1,0,0,0,0,0,66,0,59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,6,1,345,308,37,7,0,0,0,0,0,7,0,0,0,0,0,28,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,328,279,49,5,0,0,0,0,0,5,0,0,0,0,0,38,0,34,0,0,1,0,1,0,01,16,44584271.2518311,36774.7986367253
25,01033,Lapuebla de Labarca,01,16,01012017,ES,ES2,ES21,ES211,859,43,37,48,36,32,37,43,69,70,70,72,58,64,46,25,28,47,34,448,23,19,29,23,17,21,19,35,42,36,36,26,40,23,9,13,23,14,411,20,18,19,13,15,16,24,34,28,34,36,32,24,23,16,15,24,20,771,88,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,10,7,0,0,42,0,42,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,448,403,45,19,0,0,0,0,0,12,0,7,5,0,0,20,0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,411,368,43,14,0,0,0,0,0,10,0,3,2,0,0,22,0,22,0,0,5,1,0,0,01,16,10959950.4561768,16735.2607436848
26,01034,Leza,01,16,01012017,ES,ES2,ES21,ES211,203,11,11,6,8,6,13,5,9,13,17,16,13,17,13,12,5,14,14,100,2,7,1,5,1,6,5,3,8,10,7,11,8,6,6,3,5,6,103,9,4,5,3,5,7,0,6,5,7,9,2,9,7,6,2,9,8,178,25,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,11,0,0,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,100,89,11,2,0,0,0,0,0,2,0,0,0,0,0,7,0,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,103,89,14,5,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,4,0,0,1,01,16,17913393.8140869,23028.1755469184
27,01036,Laudio/Llodio,01,16,01012017,ES,ES2,ES21,ES211,18133,708,790,781,683,691,838,993,1308,1429,1440,1486,1319,1179,1135,1064,907,774,608,8965,369,431,408,359,367,423,507,673,740,752,755,638,544,525,519,399,331,225,9168,339,359,373,324,324,415,486,635,689,688,731,681,635,610,545,508,443,383,17355,778,98,3,1,1,5,3,14,5,1,13,36,21,1,1,1,26,20,14,10,11,8,50,13,6,1,334,112,179,11,3,258,2,11,38,21,12,3,31,53,35,3,1,2,60,28,28,15,8965,8595,370,56,1,0,1,4,1,15,4,26,5,1,0,174,52,99,6,1,97,0,2,18,7,7,2,18,17,14,2,0,1,34,14,18,4,9168,8760,408,42,2,1,0,1,2,5,4,24,8,5,1,160,60,80,5,2,161,2,9,20,01,16,70349200.8509521,37884.403475596
28,01037,Arraia-Maeztu,01,16,01012017,ES,ES2,ES21,ES211,725,36,45,30,13,18,25,37,56,66,71,57,45,49,45,41,27,27,37,404,21,24,18,10,7,17,15,30,41,39,36,26,27,24,26,16,13,14,321,15,21,12,3,11,8,22,26,25,32,21,19,22,21,15,11,14,23,685,40,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,7,2,2,0,21,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,388,16,8,0,0,0,0,0,2,2,4,0,0,0,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,297,24,8,0,0,1,1,0,3,0,3,2,2,0,14,0,14,0,0,0,0,0,0,01,16,227871650.579468,82782.1583818794
